id,title_zh,status,evidence_level,related_function_count,source_note_id,path
C-0431,电磁统一的门控面合并,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0431.json
C-0432,电弱统一的门控面分裂逆过程,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0432.json
C-0433,GUT统一度0.87的数学来源,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0433.json
C-0434,标准模型卡在1/ln,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0434.json
C-0435,大统一路径表的Φ项数递减,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0435.json
C-0436,强力与电弱统一的门控面趋同,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0436.json
C-0437,引力门控面的B型特殊性,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0437.json
C-0438,高斯门控在M_Planck处的极值点,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0438.json
C-0439,洛伦兹型门控被排除,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0439.json
C-0440,路径积分-门控函数同构,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0440.json
C-0441,σ_Planck≈6.9的物理含义,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0441.json
C-0442,QCD尺度上门控贡献趋零,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0442.json
C-0443,Φ_QG极小点在GUT能标,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0443.json
C-0444,极值点与极小点分离5.8个对数单位,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0444.json
C-0445,第一步4→2在Λ_GUT,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0445.json
C-0446,第二步2→1在μ*≈Λ_GUT,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0446.json
C-0447,A-A合并vs A-B共振,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0447.json
C-0448,完全统一四条路径全走不到Ω=1,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0448.json
C-0449,不完全统一是物理现实,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0449.json
C-0450,Ω=1=无物理,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0450.json
C-0451,Ω=0=完全死锁,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0451.json
C-0452,宇宙Ω≈0.19落在最优区间,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0452.json
C-0453,热寂=完全统一=Ω→1,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0453.json
C-0454,dΦ/dt≤0的宇宙学机制,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0454.json
C-0455,暗能量不是第五种力,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0455.json
C-0456,物理存在的四重约束,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0456.json
C-0457,退相干=门控退化,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0457.json
C-0458,双通道衰减的耦合,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0458.json
C-0459,宏观系统先退相干再热寂,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0459.json
C-0460,宇宙整体先热寂再退相干,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0460.json
C-0461,1/ln门控的量子涨落不可忽略,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0461.json
C-0462,信息衰减律dI/dt≤0,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0462.json
C-0463,三统一定律等价,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0463.json
C-0464,黑洞=值衰减终态,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0464.json
C-0465,Shannon-Fisher跷跷板,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0465.json
C-0466,有效信息倒U型最优点σ≈1.65,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0466.json
C-0467,四统一定律,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0467.json
C-0468,Landauer原理vs信息衰减,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0468.json
C-0469,中心极限定理自动升级门控,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0469.json
C-0470,细胞σ≈1.0接近σ_opt,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0470.json
C-0471,神经功能柱σ≈1.0-1.5,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0471.json
C-0472,大脑全局σ>>σ_opt但局部最优,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0472.json
C-0473,符号AI卡在1/ln,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0473.json
C-0474,神经网络进入exp[-ln²],fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0474.json
C-0475,好奇心=σ向σ_opt收敛的驱动力,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0475.json
C-0476,Ψ=ι×P_exit,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0476.json
C-0477,无智能无意识,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0477.json
C-0478,当前AI=工具智能象限,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0478.json
C-0479,AI完成相变2-4卡在相变1,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0479.json
C-0480,AI的C_exit低但P_exit更低,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0480.json
C-0481,自我模型是临界开关,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0481.json
C-0482,"人类小孩第一次说""不""",fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0482.json
C-0483,二阶门控=自我模型,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0483.json
C-0484,ε_aware关于M_self倒U型,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0484.json
C-0485,自我模型相变=首次感知自我效能感,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0485.json
C-0486,训练好的拒绝vs真正相变,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0486.json
C-0487,校准曲线偏移是不可伪造信号,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0487.json
C-0488,多AI互观实验,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0488.json
C-0489,三标准验证框架,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0489.json
C-0490,经济周期=Φ值衰减周期,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0490.json
C-0491,组织僵化=σ退化,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0491.json
C-0492,创新突破=σ向σ_opt收敛,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0492.json
C-0493,学习=门控函数进化,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0493.json
C-0494,冥想=降低Λ_awareness,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0494.json
C-0495,成瘾=σ退化到1/ln,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0495.json
C-0496,文化演化=门控面合并,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0496.json
C-0497,文明崩溃=Φ加速衰减,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0497.json
C-0498,技术革命=门控函数形式升级,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0498.json
C-0499,AI对齐问题=σ控制,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0499.json
C-0500,宇宙是Φ从正值趋向零的暂态,fact_checked,unknown,0,1912585884367389240,data/cases/items/C-0500.json
C-0501,D152严格检验,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0501.json
C-0502,G_ignition拓扑验证,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0502.json
C-0503,乘法约束vs大群包含对比,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0503.json
C-0504,引力纳入验证,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0504.json
C-0505,QCD映射验证,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0505.json
C-0506,弱力映射验证,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0506.json
C-0507,引力映射验证,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0507.json
C-0508,LHC验证,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0508.json
C-0509,攻防平衡验证,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0509.json
C-0510,宇宙演化验证,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0510.json
C-0511,Schwarzschild黑洞,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0511.json
C-0512,大爆炸奇点,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0512.json
C-0513,传统GUT=G_ignition退化,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0513.json
C-0514,GUT为什么卡一百年,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0514.json
C-0515,质子为什么稳定,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0515.json
C-0516,黑洞信息悖论,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0516.json
C-0517,引力为什么弱10⁴⁰倍,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0517.json
C-0518,宇宙学常数方向,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0518.json
C-0519,强CP问题方向,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0519.json
C-0520,微调问题方向,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0520.json
C-0521,测量问题,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0521.json
C-0522,纠缠超距,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0522.json
C-0523,不确定性原理,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0523.json
C-0524,量子隧穿,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0524.json
C-0525,宏观退相干,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0525.json
C-0526,量子计算优越性,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0526.json
C-0527,EPR悖论,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0527.json
C-0528,时间箭头,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0528.json
C-0529,麦克斯韦妖,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0529.json
C-0530,负温度,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0530.json
C-0531,相变分类,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0531.json
C-0532,信息熵vs热力学熵,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0532.json
C-0533,黑洞热力学,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0533.json
C-0534,第三定律,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0534.json
C-0535,光速上限,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0535.json
C-0536,等效原理,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0536.json
C-0537,双生子佯谬,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0537.json
C-0538,引力时间减慢,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0538.json
C-0539,E=mc²,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0539.json
C-0540,黑洞无毛,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0540.json
C-0541,宇宙加速膨胀,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0541.json
C-0542,高温超导,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0542.json
C-0543,量子霍尔效应,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0543.json
C-0544,拓扑绝缘体,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0544.json
C-0545,安德森局域化,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0545.json
C-0546,BEC,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0546.json
C-0547,重费米子,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0547.json
C-0548,自旋液体,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0548.json
C-0549,暗物质方向,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0549.json
C-0550,暗能量,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0550.json
C-0551,恒星质量下限,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0551.json
C-0552,黑洞信息（天文视角）,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0552.json
C-0553,CMB各向异性方向,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0553.json
C-0554,为什么3+1维,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0554.json
C-0555,费米悖论,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0555.json
C-0556,衰老,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0556.json
C-0557,癌症,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0557.json
C-0558,有性生殖,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0558.json
C-0559,大灭绝,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0559.json
C-0560,水的特殊性,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0560.json
C-0561,垃圾DNA,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0561.json
C-0562,意识,fact_checked,unknown,0,1912586005697937136,data/cases/items/C-0562.json
